Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
Afghanistan,AFG       ,World,WLD,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,,,,,,,680031802.2,824820865.7,886806941.9,984696551.9,964960640.9,1011447397.0,1054811957.0,1077302689.0,1024796140.0,1010070632.0,967836618.9,996694334.6,970308978.2,969659609.0,980044969.9,932394914.0,888460567.9,886733559.1,829903607.3,,,,,,,,
Afghanistan,AFG       ,World,WLD,"External debt stocks, general government sector (PPG) (DOD, current US$)",DT.DOD.DEGG.CD,,,,,,,919625562.7,1902213499.0,1994109003.0,2105711788.0,1975547214.0,2032464250.0,2079786013.0,2106231492.0,2020951889.0,1989954793.0,1949505965.0,1981566649.0,1948884924.0,1943607688.0,1958449755.0,1907966305.0,1859403115.0,1856685293.0,1794720844.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,,,,,,,920022562.7,1902610499.0,1994506003.0,2106108788.0,1975547214.0,2032464250.0,2079786013.0,2106231492.0,2020951889.0,2008954793.0,1964505965.0,1997566649.0,1970427924.0,1964900688.0,1976197755.0,1925714305.0,1877151115.0,1874433293.0,1812468844.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,,,,,,,,,,,,,,,,19000000.0,15000000.0,16000000.0,21543000.0,21293000.0,17748000.0,17748000.0,17748000.0,17748000.0,17748000.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,,,,,,,920022562.7,1902610499.0,1994506003.0,2106108788.0,1975547214.0,2032464250.0,2079786013.0,2106231492.0,2020951889.0,1989954793.0,1949505965.0,1981566649.0,1948884924.0,1943607688.0,1958449755.0,1907966305.0,1859403115.0,1856685293.0,1794720844.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"External debt stocks, other public sector (PPG) (DOD, current US$)",DT.DOD.DOPS.CD,,,,,,,397000.0,397000.0,397000.0,397000.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG       ,World,WLD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,,,,,,,,,,,,,,,,19000000.0,15000000.0,16000000.0,21543000.0,21293000.0,17748000.0,17748000.0,17748000.0,17748000.0,17748000.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,,,,,,,920022562.7,1902610499.0,1994506003.0,2106108788.0,1975547214.0,2032464250.0,2079786013.0,2106231492.0,2020951889.0,1989954793.0,1949505965.0,1981566649.0,1948884924.0,1943607688.0,1958449755.0,1907966305.0,1859403115.0,1856685293.0,1794720844.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"External debt stocks, public sector (PPG) (DOD, current US$)",DT.DOD.DEPS.CD,,,,,,,920022562.7,1902610499.0,1994506003.0,2106108788.0,1975547214.0,2032464250.0,2079786013.0,2106231492.0,2020951889.0,1989954793.0,1949505965.0,1981566649.0,1948884924.0,1943607688.0,1958449755.0,1907966305.0,1859403115.0,1856685293.0,1794720844.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,19149951.9,21653848.1,18364190.3,21352709.1,105067801.3,80311627.0,113204787.3,105900006.0,174074254.5,287800758.1,354559350.4,469566085.0,433736004.0,419862000.0,435134000.0,444742816.4,393984557.0,426670507.0,442598969.1,,,,,,,,
